Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.apache.commons.io.ByteOrderMark,100,1,2,1,1,0.706016886,2,0,1,76,28,0,18,51,52,1,1,69,40,1,69
org.apache.commons.io.comparator.AbstractFileComparator,100,1,1,0,1,0.921419221,6,4,1,18,19,2,5,20,77,67,1,26,4,50,27
org.apache.commons.io.comparator.CompositeFileComparator,50,1,2,1,1,0.753292888,6,3,2,49,28,2,11,47,77,53,27,56,40,50,55
org.apache.commons.io.comparator.DefaultFileComparator,0,0,2,1,1,0.983870968,0,2,2,7,19,1,1,1,1,40,27,1,4,14,1
org.apache.commons.io.comparator.DirectoryFileComparator,0,0,2,1,1,0.921419221,0,2,2,14,20,1,3,20,1,40,27,19,8,14,12
org.apache.commons.io.comparator.ExtensionFileComparator,25,1,2,1,1,0.587995712,6,4,2,26,22,2,5,65,77,67,27,36,19,50,27
org.apache.commons.io.comparator.LastModifiedFileComparator,0,0,2,1,1,0.951612903,0,2,2,14,19,1,3,17,1,40,27,19,4,14,12
org.apache.commons.io.comparator.NameFileComparator,25,1,2,1,1,0.765620844,6,3,2,22,21,2,5,44,77,53,27,32,13,50,27
org.apache.commons.io.comparator.PathFileComparator,25,1,2,1,1,0.765620844,6,3,2,22,21,2,5,44,77,53,27,32,13,50,27
org.apache.commons.io.comparator.ReverseComparator,33,1,1,0,1,0.818202335,6,1,2,16,19,1,4,39,77,11,27,23,4,14,21
org.apache.commons.io.comparator.SizeFileComparator,0,0,2,1,1,0.666734683,6,3,2,39,23,1,10,55,77,53,27,49,26,14,48
org.apache.commons.io.CopyUtils,100,1,2,1,1,0.643274132,1,9,1,84,33,9,13,56,21,88,1,73,55,97,57
org.apache.commons.io.DirectoryWalker,518,1,2,1,1,0.615674992,0,8,1,112,34,6,27,59,1,85,1,85,56,89,87
org.apache.commons.io.DirectoryWalker.CancelException,75,1,1,0,1,0.937028029,0,1,4,19,26,1,4,18,1,11,85,28,37,14,21
org.apache.commons.io.EndianUtils,100,1,2,1,1,0.27084264,2,4,1,202,48,3,33,87,52,67,1,95,81,71,91
org.apache.commons.io.FileCleaner,0,0,2,1,1,0.536669403,0,3,1,31,25,3,7,70,1,53,1,39,34,71,39
org.apache.commons.io.FileCleaningTracker,900,1,2,1,1,0.591667838,2,11,1,86,45,6,13,64,52,94,1,76,74,89,57
