Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.jfree.chart.annotations.CategoryLineAnnotation,74,1,2,1,1,0.240078172,1,23,1,163,53,13,37,289,43,333,1,287,218,313,299
org.jfree.chart.annotations.CategoryTextAnnotation,90,1,2,1,1,0.225066238,1,14,2,109,50,9,21,292,43,286,150,234,211,282,223
org.jfree.chart.annotations.TextAnnotation,82,1,2,1,1,0.741285395,2,10,1,104,36,6,26,160,127,250,1,228,159,241,249
org.jfree.chart.annotations.XYBoxAnnotation,44,1,2,1,1,0.351698446,7,19,2,133,46,12,23,270,291,310,150,254,192,308,240
org.jfree.chart.annotations.XYDrawableAnnotation,80,1,2,1,1,0.401411578,7,11,2,93,34,8,15,254,291,262,150,214,140,273,176
org.jfree.chart.annotations.XYImageAnnotation,57,1,2,1,1,0.401760366,7,17,2,90,39,12,17,253,291,304,150,209,170,308,188
org.jfree.chart.annotations.XYLineAnnotation,50,1,2,1,1,0.370188338,7,21,2,143,47,13,22,262,291,320,150,270,196,313,235
org.jfree.chart.annotations.XYPointerAnnotation,50,1,2,1,1,0.45611538,8,23,3,171,87,14,27,246,308,333,247,292,277,323,256
org.jfree.chart.annotations.XYShapeAnnotation,44,1,2,1,1,0.35260851,7,20,2,112,51,14,21,269,291,314,150,236,214,323,223
org.jfree.chart.annotations.XYTextAnnotation,39,1,2,1,1,0.297640201,8,20,2,180,63,14,37,283,308,314,150,296,245,323,299
org.jfree.chart.axis.Axis,63,1,2,1,1,0.133304467,28,33,2,532,169,23,116,306,396,373,150,386,313,377,392
org.jfree.chart.axis.AxisLocation,60,1,2,1,1,0.886623768,3,1,1,68,18,1,17,97,195,44,1,176,48,51,188
org.jfree.chart.axis.AxisSpace,42,1,2,1,1,0.642723407,11,3,1,180,41,2,44,197,342,121,1,296,176,109,324
org.jfree.chart.axis.CategoryAnchor,50,1,2,1,1,0.942037753,2,1,1,41,15,1,10,51,127,44,1,102,17,51,119
org.jfree.chart.axis.CategoryAxis,28,1,2,1,1,1.29E-04,34,49,3,750,270,32,148,385,400,400,247,400,330,398,402
org.jfree.chart.axis.CategoryAxis3D,40,1,2,1,1,0.286731248,7,10,4,91,181,9,15,284,291,250,330,212,316,282,176
org.jfree.chart.axis.CategoryLabelPosition,42,1,2,1,1,0.675742209,3,4,1,112,26,4,24,180,195,146,1,236,96,189,243
org.jfree.chart.axis.CategoryLabelPositions,27,1,2,1,1,0.101610609,3,6,1,258,27,2,33,311,195,191,1,342,105,109,278
org.jfree.chart.axis.CategoryLabelWidthType,50,1,2,1,1,0.942037753,1,1,1,40,16,1,10,51,43,44,1,100,31,51,119
org.jfree.chart.axis.CategoryTick,50,1,2,1,1,0.63920212,2,4,2,50,26,3,11,198,127,146,150,136,96,148,133
org.jfree.chart.axis.ColorBar,35,1,2,1,1,2.36E-04,3,22,1,225,73,13,40,380,195,327,1,322,263,313,312
org.jfree.chart.axis.CyclicNumberAxis,29,1,2,1,1,5.40E-09,20,36,5,650,313,23,122,400,380,380,371,393,341,377,394
org.jfree.chart.axis.DateAxis,40,1,2,1,1,1.59E-18,23,44,4,1030,337,32,144,409,389,396,330,405,343,398,401
org.jfree.chart.axis.DateTick,75,1,2,1,1,0.597978151,3,3,3,28,26,2,7,212,195,121,247,59,96,109,73
org.jfree.chart.axis.DateTickMarkPosition,50,1,2,1,1,0.942037753,1,1,1,41,15,1,10,51,43,44,1,102,17,51,119
org.jfree.chart.axis.DateTickUnit,19,1,2,1,1,0.394764595,4,4,2,140,40,3,39,257,238,146,150,264,172,148,306
org.jfree.chart.axis.LogarithmicAxis,4,1,2,1,1,0.003069912,6,15,5,526,290,10,106,365,273,296,371,384,336,287,387
org.jfree.chart.axis.MarkerAxisBand,43,1,2,1,1,0.834153291,1,23,1,122,55,10,18,125,43,333,1,249,226,287,199
org.jfree.chart.axis.MonthDateFormat,27,1,2,1,1,0.014193934,1,14,3,136,71,7,21,342,43,286,247,259,258,258,223
org.jfree.chart.axis.NumberAxis,38,1,2,1,1,5.65E-10,26,36,4,741,296,28,108,403,393,380,330,398,337,393,389
org.jfree.chart.axis.NumberAxis3D,33,1,2,1,1,9.62E-04,2,11,5,48,246,10,8,373,127,262,371,128,327,287,89
org.jfree.chart.axis.NumberTickUnit,80,1,2,1,1,0.733369589,6,1,2,38,25,1,11,163,273,44,150,94,91,51,133
org.jfree.chart.axis.PeriodAxis,31,1,2,1,1,1.38E-04,28,42,4,686,329,26,127,384,396,393,330,396,342,385,395
org.jfree.chart.axis.PeriodAxisLabelInfo,31,1,2,1,1,0.666545245,2,15,1,155,41,12,33,187,127,296,1,281,176,308,278
org.jfree.chart.axis.QuarterDateFormat,33,1,2,1,1,0.853055048,1,8,3,53,57,4,11,114,43,228,247,147,235,189,133
org.jfree.chart.axis.SegmentedTimeline,468,1,2,1,1,0.015372181,4,12,1,631,108,6,81,341,238,274,1,392,291,241,376
org.jfree.chart.axis.SubCategoryAxis,38,1,2,1,1,0.009927833,10,26,4,226,220,17,40,347,328,353,330,324,325,345,312
org.jfree.chart.axis.ValueAxis,54,1,2,1,1,5.90E-06,39,39,3,976,281,30,203,394,403,388,247,404,334,396,406
org.jfree.chart.block.AbstractContentBlock,70,1,2,1,1,0.245116758,48,17,1,253,106,13,63,287,407,304,1,340,289,313,358
org.jfree.chart.block.ACIUtilities,4,1,2,1,1,0.074367738,3,20,1,449,86,14,72,315,195,314,1,381,276,323,371
org.jfree.chart.block.BlockBorder,64,1,2,1,1,0.727053975,8,12,1,89,36,7,21,165,308,274,1,207,159,258,223
org.jfree.chart.block.BlockContainer,86,1,2,1,1,0.005264169,11,21,2,224,138,17,52,355,342,320,150,321,306,345,337
org.jfree.chart.block.BorderArrangement,20,1,2,1,1,0.013700375,4,12,1,397,56,10,66,343,238,274,1,375,231,287,363
org.jfree.chart.block.ColumnArrangement,25,1,2,1,1,0.207683327,2,16,1,238,65,11,49,300,127,301,1,331,249,300,332
org.jfree.chart.block.EmptyBlock,40,1,2,1,1,0.7943062,0,5,2,30,79,5,6,147,1,167,150,65,269,222,66
org.jfree.chart.block.FlowArrangement,21,1,2,1,1,0.180956446,2,14,1,238,53,11,46,303,127,286,1,331,218,300,327
org.jfree.chart.block.GridArrangement,22,1,2,1,1,0.22283573,1,12,1,145,49,10,33,293,43,274,1,272,204,287,278
org.jfree.chart.block.RectangleConstraint,62,1,2,1,1,0.450834126,36,3,1,211,33,3,49,248,402,121,1,317,132,148,332
org.jfree.chart.ChartPanel,3,1,2,1,1,4.13E-04,7,50,5,1251,677,39,211,376,291,401,371,408,411,405,407
org.jfree.chart.ChartRenderingInfo,50,1,2,1,1,0.795955742,33,10,1,78,33,6,20,146,399,250,1,194,132,241,218
org.jfree.chart.entity.CategoryItemEntity,45,1,2,1,1,0.611524033,15,3,2,64,35,2,16,206,363,121,150,169,152,109,181
org.jfree.chart.entity.ContourEntity,67,1,2,1,1,0.618375392,6,1,2,33,28,1,9,204,273,44,150,76,116,51,102
org.jfree.chart.entity.LegendItemEntity,60,1,2,1,1,0.6307429,5,1,2,30,28,1,8,200,259,44,150,65,116,51,89
org.jfree.chart.entity.PieSectionEntity,10,1,2,1,1,0.888406748,3,2,2,47,33,2,10,92,195,97,150,123,132,109,119
org.jfree.chart.entity.StandardEntityCollection,45,1,2,1,1,0.845202343,7,8,1,55,41,4,16,118,291,228,1,152,176,189,181
org.jfree.chart.entity.TickLabelEntity,100,1,2,1,1,0.970780469,0,1,2,7,24,1,1,32,1,44,150,14,82,51,5
org.jfree.chart.entity.XYItemEntity,44,1,2,1,1,0.611902686,21,2,2,52,32,2,13,205,386,97,150,146,129,109,164
org.jfree.chart.JFreeChart,49,1,2,1,1,1.13E-08,17,59,2,609,225,42,127,399,374,407,150,390,326,407,395
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,75,1,2,1,1,0.828464078,2,6,3,43,35,3,7,130,127,191,247,107,152,148,73
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,75,1,2,1,1,0.668105624,6,7,3,51,41,4,8,186,273,208,247,143,176,189,89
org.jfree.chart.labels.HighLowItemLabelGenerator,67,1,2,1,1,0.794040161,3,6,1,88,36,5,20,148,195,191,1,206,159,222,218
org.jfree.chart.labels.ItemLabelAnchor,50,1,2,1,1,0.942037753,2,1,1,152,15,1,32,51,127,44,1,278,17,51,274
org.jfree.chart.labels.ItemLabelPosition,38,1,2,1,1,0.740756487,8,2,1,71,19,2,17,161,308,97,1,179,56,109,188
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,100,1,2,1,1,0.801892973,2,3,2,21,26,3,4,140,127,121,150,49,96,148,49
org.jfree.chart.labels.StandardCategoryToolTipGenerator,75,1,2,1,1,0.801892973,3,3,2,22,24,3,4,140,195,121,150,52,82,148,49
org.jfree.chart.labels.StandardContourToolTipGenerator,0,0,2,1,1,0.932525952,0,8,1,47,28,3,7,71,1,228,1,123,116,148,73
org.jfree.chart.labels.StandardPieSectionLabelGenerator,56,1,2,1,1,0.621518774,4,5,2,49,32,4,12,202,238,167,150,131,129,189,154
org.jfree.chart.labels.StandardPieToolTipGenerator,80,1,2,1,1,0.742981794,3,2,2,32,24,2,5,158,195,97,150,72,82,109,58
org.jfree.chart.labels.StandardXYToolTipGenerator,88,1,2,1,1,0.576972181,5,3,2,50,29,3,10,215,259,121,150,136,121,148,119
org.jfree.chart.labels.StandardXYZToolTipGenerator,44,1,2,1,1,0.471581204,5,8,3,99,42,4,19,240,259,228,247,220,181,189,211
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,40,1,2,1,1,0.882701982,0,6,1,54,29,2,11,100,1,191,1,149,121,109,133
org.jfree.chart.LegendItem,61,1,2,1,1,0.366601114,18,14,1,305,53,8,56,264,376,286,1,358,218,273,352
org.jfree.chart.LegendItemCollection,75,1,2,1,1,0.896756056,15,5,1,38,25,3,11,87,363,167,1,94,91,148,133
org.jfree.chart.needle.ArrowNeedle,75,1,2,1,1,0.492106395,10,10,2,63,48,6,11,233,328,250,150,167,199,241,133
org.jfree.chart.needle.LineNeedle,67,1,2,1,1,0.552193907,8,7,2,31,44,5,7,219,308,208,150,68,188,222,73
org.jfree.chart.needle.LongNeedle,75,1,2,1,1,0.502100928,9,9,2,77,53,5,12,232,322,239,150,188,218,222,154
org.jfree.chart.needle.MeterNeedle,32,1,2,1,1,0.664119193,11,18,1,151,56,11,40,188,342,308,1,276,231,300,312
org.jfree.chart.needle.MiddlePinNeedle,67,1,2,1,1,0.541038475,8,11,2,46,49,6,8,225,308,262,150,117,204,241,89
org.jfree.chart.needle.PinNeedle,67,1,2,1,1,0.546616191,8,11,2,46,49,6,8,222,308,262,150,117,204,241,89
org.jfree.chart.needle.PlumNeedle,67,1,2,1,1,0.552193907,8,8,2,38,49,5,7,219,308,228,150,94,204,222,73
