Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.apache.commons.math.analysis.BisectionSolver,67,1,2,1,1,0.481557429,2,4,2,37,54,3,6,38,27,58,40,27,73,68,21
org.apache.commons.math.analysis.BrentSolver,33,1,2,1,1,0.173360675,2,3,2,102,55,3,16,66,27,50,40,73,75,68,59
org.apache.commons.math.analysis.NewtonSolver,75,1,2,1,1,0.470147395,2,7,2,36,57,6,6,40,27,83,40,25,81,86,21
org.apache.commons.math.analysis.PolynomialFunction,100,1,2,1,1,0.398030074,3,0,1,54,22,0,14,43,56,1,1,45,15,1,49
org.apache.commons.math.analysis.PolynomialSplineFunction,88,1,2,1,1,0.192122882,2,3,1,70,26,2,17,64,27,50,1,62,22,47,65
org.apache.commons.math.analysis.SecantSolver,33,1,1,0,1,0.334414882,2,3,2,68,55,3,11,49,27,50,40,59,75,68,36
org.apache.commons.math.analysis.SplineInterpolator,0,0,2,1,1,0.556746208,0,3,1,52,16,2,9,33,1,50,1,43,6,47,29
org.apache.commons.math.analysis.UnivariateRealSolverFactory,86,1,1,0,1,0.889246896,1,5,1,26,20,4,7,8,9,71,1,19,12,76,25
org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl,17,1,2,1,1,0.516149583,2,7,2,20,26,3,6,36,27,83,40,16,22,68,21
org.apache.commons.math.analysis.UnivariateRealSolverImpl,41,1,1,0,1,0.382232702,5,2,1,125,51,2,28,45,75,38,1,77,71,47,75
org.apache.commons.math.analysis.UnivariateRealSolverUtils,86,1,2,1,1,0.283921293,3,5,1,75,26,5,14,53,56,71,1,66,22,84,49
org.apache.commons.math.complex.Complex,100,1,2,1,1,0.108325581,3,1,1,138,30,0,33,71,56,27,1,83,31,1,83
org.apache.commons.math.complex.ComplexFormat,39,1,2,1,1,2.59E-04,1,6,2,231,73,6,49,87,9,80,40,88,89,86,87
org.apache.commons.math.complex.ComplexUtils,94,1,2,1,1,1.29E-05,1,2,1,123,47,1,30,89,9,38,1,75,68,33,79
org.apache.commons.math.ConvergenceException,100,1,1,0,1,0.720087465,9,0,4,15,28,0,4,15,92,1,87,10,26,1,12
org.apache.commons.math.distribution.AbstractContinuousDistribution,80,1,1,0,1,0.574585217,8,5,2,47,27,4,8,31,90,71,40,39,25,76,27
org.apache.commons.math.distribution.AbstractDistribution,0,0,0,0,0,0.91349481,2,1,1,15,15,1,3,6,27,27,1,10,3,33,7
org.apache.commons.math.distribution.AbstractIntegerDistribution,0,0,0,0,0,0.619357815,3,1,2,60,28,1,16,25,56,27,40,50,26,33,59
org.apache.commons.math.distribution.BinomialDistributionImpl,0,0,0,0,0,0.211242789,2,3,3,73,43,1,17,61,27,50,60,64,61,33,65
org.apache.commons.math.distribution.CauchyDistributionImpl,9,1,1,0,1,0.358997973,2,0,3,76,35,0,19,46,27,1,60,67,44,1,70
org.apache.commons.math.distribution.ChiSquaredDistributionImpl,0,0,0,0,0,0.280428939,6,3,3,57,35,2,14,54,80,50,60,49,44,47,49
org.apache.commons.math.distribution.DistributionFactory,86,1,1,0,1,0.55169863,6,15,1,46,29,12,14,34,80,92,1,38,29,94,49
org.apache.commons.math.distribution.DistributionFactoryImpl,9,1,2,1,1,0.087984034,1,18,2,44,44,9,11,73,9,94,40,36,63,91,36
org.apache.commons.math.distribution.ExponentialDistributionImpl,0,0,0,0,0,0.524969922,7,1,3,56,31,1,14,35,87,27,60,46,35,33,49
org.apache.commons.math.distribution.FDistributionImpl,50,1,1,0,1,0.227378528,6,2,3,66,34,1,15,59,80,38,60,58,39,33,57
org.apache.commons.math.distribution.GammaDistributionImpl,0,0,0,0,0,0.220410975,6,2,3,69,34,1,17,60,80,38,60,60,39,33,65
org.apache.commons.math.distribution.HypergeometricDistributionImpl,71,1,1,0,1,0.09051855,2,1,3,131,53,0,28,72,27,27,60,81,72,1,75
org.apache.commons.math.distribution.NormalDistributionImpl,0,0,0,0,0,0.141238755,6,2,3,73,35,1,18,70,80,38,60,64,44,33,68
org.apache.commons.math.distribution.PoissonDistributionImpl,0,0,0,0,0,0.291317668,2,5,3,48,44,2,12,50,27,71,60,40,63,47,41
org.apache.commons.math.distribution.TDistributionImpl,38,1,1,0,1,0.269316991,6,2,3,56,30,1,13,55,80,38,60,46,31,33,45
org.apache.commons.math.distribution.WeibullDistributionImpl,10,1,1,0,1,0.450500521,2,0,3,63,36,0,16,41,27,1,60,53,48,1,59
org.apache.commons.math.fraction.Fraction,91,1,2,1,1,5.39E-08,3,3,2,238,54,2,56,92,56,50,40,89,73,47,90
org.apache.commons.math.fraction.FractionFormat,45,1,2,1,1,1.76E-04,2,8,2,159,64,7,33,88,27,86,40,84,85,90,83
org.apache.commons.math.fraction.ProperFractionFormat,14,1,1,0,1,0.005170497,2,5,3,87,56,4,14,84,27,71,60,69,78,76,49
org.apache.commons.math.FunctionEvaluationException,100,1,2,1,1,0.741908298,3,0,4,18,29,0,4,14,56,1,87,14,29,1,12
org.apache.commons.math.linear.BigMatrixImpl,55,1,2,1,1,2.55E-10,2,4,1,660,119,3,174,94,27,58,1,94,94,68,94
org.apache.commons.math.linear.InvalidMatrixException,100,1,2,1,1,0.914334419,3,0,4,9,24,0,2,4,56,1,87,5,18,1,4
org.apache.commons.math.linear.MatrixIndexException,100,1,2,1,1,0.914334419,3,0,4,9,24,0,2,4,56,1,87,5,18,1,4
org.apache.commons.math.linear.MatrixUtils,93,1,2,1,1,0.001876093,2,5,1,93,34,5,25,85,27,71,1,71,39,84,72
org.apache.commons.math.linear.RealMatrixImpl,68,1,2,1,1,7.38E-09,2,4,1,533,92,2,139,93,27,58,1,93,93,47,93
org.apache.commons.math.MathConfigurationException,100,1,2,1,1,0.720087465,1,0,4,17,28,0,4,15,9,1,87,13,26,1,12
org.apache.commons.math.MathException,88,1,2,1,1,0.578848019,6,2,3,53,32,2,10,30,80,38,60,44,37,47,34
org.apache.commons.math.random.AbstractRandomGenerator,45,1,2,1,1,0.573659688,0,0,1,65,34,0,20,32,1,1,1,56,39,1,71
org.apache.commons.math.random.EmpiricalDistributionImpl,1588,1,1,0,1,0.475242239,1,16,1,223,71,11,25,39,9,93,1,86,88,93,72
org.apache.commons.math.random.EmpiricalDistributionImpl.ArrayDataAdapter,33,1,1,0,1,0.6024479,2,4,2,22,19,2,5,27,27,58,40,17,10,47,16
org.apache.commons.math.random.EmpiricalDistributionImpl.DataAdapter,100,1,1,0,1,1,0,0,1,5,13,0,2,1,1,1,1,2,1,1,4
org.apache.commons.math.random.EmpiricalDistributionImpl.DataAdapterFactory,100,1,1,0,1,0.891652249,1,4,1,14,15,2,3,7,9,58,1,9,3,47,7
org.apache.commons.math.random.EmpiricalDistributionImpl.StreamDataAdapter,33,1,1,0,1,0.620703897,2,5,2,31,24,3,5,24,27,71,40,23,18,68,16
org.apache.commons.math.random.JDKRandomGenerator,0,0,0,0,0,1,0,0,2,2,30,0,0,1,1,1,40,1,31,1,1
org.apache.commons.math.random.RandomAdaptor,17,1,2,1,1,0.677729379,1,0,2,39,40,0,13,17,9,1,40,35,56,1,45
org.apache.commons.math.random.RandomDataImpl,96,1,1,0,1,0.069271819,1,8,1,239,74,6,57,75,9,86,1,90,90,86,91
org.apache.commons.math.random.ValueServer,92,1,2,1,1,0.195415765,1,11,1,130,55,6,32,63,9,89,1,79,75,86,81
org.apache.commons.math.special.Beta,57,1,2,1,1,0.039467317,4,4,1,71,23,2,11,78,71,58,1,63,16,47,36
org.apache.commons.math.special.Erf,50,1,2,1,1,0.604446113,1,2,1,12,13,1,3,26,9,38,1,8,1,33,7
org.apache.commons.math.special.Gamma,83,1,2,1,1,0.166386703,5,4,1,110,23,2,16,67,75,58,1,74,16,47,59
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,78,1,1,0,1,0.182273829,3,1,2,49,34,0,16,65,56,27,40,42,39,1,59
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic,100,1,2,1,1,0.658253613,13,0,1,31,17,0,8,19,94,1,1,23,7,1,27
org.apache.commons.math.stat.descriptive.DescriptiveStatistics,96,1,2,1,1,0.087048593,1,14,1,86,60,2,25,74,9,91,1,68,83,47,72
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsImpl,10,1,2,1,1,0.150539629,2,2,2,60,62,2,16,68,27,38,40,50,84,47,59
org.apache.commons.math.stat.descriptive.moment.FirstMoment,60,1,2,1,1,0.835239746,5,0,3,36,35,0,6,13,75,1,60,25,44,1,21
org.apache.commons.math.stat.descriptive.moment.FourthMoment,50,1,2,1,1,0.250086234,8,0,6,29,44,0,5,57,90,1,94,22,63,1,16
org.apache.commons.math.stat.descriptive.moment.GeometricMean,83,1,2,1,1,0.501626503,4,1,3,28,43,1,7,37,71,27,60,20,61,33,25
