Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.jfree.chart.annotations.AbstractXYAnnotation,6,50,11,8,1,8,55,2,7,24,14
org.jfree.chart.annotations.CategoryAnnotation,,,5,5,0,2,4,0,1,1,1
org.jfree.chart.annotations.CategoryLineAnnotation,37,75,23,13,1,0,163,6,18,53,37
org.jfree.chart.annotations.CategoryTextAnnotation,0,57,14,9,2,0,109,3,9,50,21
org.jfree.chart.annotations.TextAnnotation,48,83,10,6,1,1,104,6,16,36,26
org.jfree.chart.annotations.XYAnnotation,,,5,5,0,9,6,0,1,1,1
org.jfree.chart.annotations.XYBoxAnnotation,10,39,19,12,2,0,133,7,6,46,23
org.jfree.chart.annotations.XYDrawableAnnotation,0,10,11,8,2,0,93,5,4,34,15
org.jfree.chart.annotations.XYImageAnnotation,9,33,17,12,2,0,90,3,6,39,17
org.jfree.chart.annotations.XYLineAnnotation,2,41,21,13,2,0,143,6,6,47,22
org.jfree.chart.annotations.XYPointerAnnotation,83,81,23,14,3,0,171,8,21,87,27
org.jfree.chart.annotations.XYPolygonAnnotation,8,16,22,13,2,0,120,4,5,48,21
org.jfree.chart.annotations.XYShapeAnnotation,6,18,20,14,2,0,112,4,6,51,21
org.jfree.chart.annotations.XYTextAnnotation,133,86,20,14,2,1,180,8,22,63,37
org.jfree.chart.axis.Axis,1284,94,33,23,2,13,532,21,56,169,116
org.jfree.chart.axis.AxisCollection,0,75,4,3,1,0,44,4,5,19,12
org.jfree.chart.axis.AxisLocation,2,66,1,1,1,0,68,1,4,18,17
org.jfree.chart.axis.AxisSpace,0,37,3,2,1,0,180,4,18,41,44
org.jfree.chart.axis.AxisState,28,74,3,2,1,0,56,3,11,23,17
org.jfree.chart.axis.CategoryAnchor,0,87,1,1,1,0,41,1,3,15,10
org.jfree.chart.axis.CategoryAxis,1166,90,49,32,3,3,750,11,51,270,148
org.jfree.chart.axis.CategoryAxis3D,10,,10,9,4,0,91,0,3,181,15
org.jfree.chart.axis.CategoryLabelPosition,30,78,4,4,1,0,112,6,8,26,24
org.jfree.chart.axis.CategoryLabelPositions,35,0,6,2,1,0,258,4,9,27,33
org.jfree.chart.axis.CategoryLabelWidthType,0,83,1,1,1,0,40,1,3,16,10
org.jfree.chart.axis.CategoryTick,0,50,4,3,2,0,50,3,5,26,11
org.jfree.chart.axis.ColorBar,0,75,22,13,1,0,225,6,16,73,40
org.jfree.chart.axis.CompassFormat,10,,2,2,3,0,32,0,4,61,6
org.jfree.chart.axis.CyclicNumberAxis,337,84,36,23,5,0,650,9,30,313,122
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,,,1,1,4,0,9,1,0,21,1
org.jfree.chart.axis.DateAxis,933,78,44,32,4,0,1030,5,44,337,144
org.jfree.chart.axis.DateAxis.DefaultTimeline,,,1,1,1,0,35,0,8,27,11
org.jfree.chart.axis.DateTick,0,0,3,2,3,0,28,1,3,26,7
org.jfree.chart.axis.DateTickMarkPosition,0,87,1,1,1,0,41,1,3,15,10
org.jfree.chart.axis.DateTickUnit,56,86,4,3,2,0,140,5,13,40,39
org.jfree.chart.axis.ExtendedCategoryAxis,0,66,10,7,4,0,51,3,6,183,11
org.jfree.chart.axis.LogarithmicAxis,194,83,15,10,5,0,526,7,24,290,106
org.jfree.chart.axis.MarkerAxisBand,0,60,23,10,1,0,122,7,6,55,18
org.jfree.chart.axis.ModuloAxis,0,38,5,3,5,0,191,3,15,263,34
org.jfree.chart.axis.MonthDateFormat,49,0,14,7,3,0,136,3,4,71,21
org.jfree.chart.axis.NumberAxis,673,85,36,28,4,5,741,6,37,296,108
org.jfree.chart.axis.NumberAxis3D,3,,11,10,5,0,48,0,1,246,8
org.jfree.chart.axis.NumberTick,0,,1,1,3,1,12,1,1,22,2
org.jfree.chart.axis.NumberTickUnit,0,0,1,1,2,0,38,1,3,25,11
org.jfree.chart.axis.PeriodAxis,788,86,42,26,4,0,686,12,46,329,127
org.jfree.chart.axis.PeriodAxisLabelInfo,48,82,15,12,1,0,155,8,14,41,33
org.jfree.chart.axis.QuarterDateFormat,9,0,8,4,3,0,53,1,3,57,11
org.jfree.chart.axis.SegmentedTimeline,798,92,12,6,1,0,631,16,43,108,81
org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange,,,0,0,3,0,6,0,0,43,1
org.jfree.chart.axis.SegmentedTimeline.Segment,196,56,2,1,1,2,152,4,27,41,36
org.jfree.chart.axis.SegmentedTimeline.SegmentRange,13,,1,0,2,1,50,1,5,47,11
org.jfree.chart.axis.StandardTickUnitSource,1,0,3,1,1,0,21,0,3,23,3
org.jfree.chart.axis.SubCategoryAxis,16,55,26,17,4,0,226,3,12,220,40
org.jfree.chart.axis.SymbolAxis,79,66,30,18,5,0,401,3,18,301,67
org.jfree.chart.axis.Tick,4,75,2,1,1,5,62,4,7,20,16
org.jfree.chart.axis.TickUnit,0,0,0,0,1,2,47,1,5,19,13
org.jfree.chart.axis.TickUnits,0,0,6,2,1,0,66,1,8,34,15
org.jfree.chart.axis.TickUnitSource,,,1,1,0,2,5,0,3,3,3
org.jfree.chart.axis.Timeline,,,1,1,0,2,9,0,7,7,7
org.jfree.chart.axis.ValueAxis,2760,94,39,30,3,8,976,19,79,281,203
org.jfree.chart.axis.ValueTick,0,0,1,1,2,3,25,1,2,20,6
org.jfree.chart.block.AbstractContentBlock,446,82,17,13,1,50,253,9,39,106,63
org.jfree.chart.block.ACIUtilities,229,75,20,14,1,0,449,4,22,86,72
org.jfree.chart.block.Arrangement,,,6,6,0,8,8,0,3,3,3
org.jfree.chart.block.ArrangeParams,16,87,6,5,1,0,58,4,7,27,14
org.jfree.chart.block.ArrangeResult,0,56,2,2,1,0,46,2,10,24,13
org.jfree.chart.block.AttributedLabelBlock,10,70,23,14,2,0,75,5,7,97,13
org.jfree.chart.block.Block,,,6,6,0,53,10,0,7,8,7
org.jfree.chart.block.BlockBorder,19,40,12,7,1,0,89,2,6,36,21
org.jfree.chart.block.BlockContainer,45,42,21,17,2,0,224,2,20,138,52
org.jfree.chart.block.BlockHeightCalculator,,,1,1,0,0,4,0,2,2,2
org.jfree.chart.block.BlockPanel,0,75,20,13,5,0,54,2,3,476,8
org.jfree.chart.block.BlockParams,3,80,0,0,1,0,28,3,6,18,7
org.jfree.chart.block.BlockResult,0,0,1,1,1,0,12,1,2,14,3
org.jfree.chart.block.BlockSizeCalculatorList,,,2,2,0,1,3,0,1,1,1
org.jfree.chart.block.BlockWidthCalculator,,,1,1,0,0,4,0,2,2,2
org.jfree.chart.block.BorderArrangement,15,0,12,10,1,0,397,5,9,56,66
org.jfree.chart.block.CenterArrangement,78,,14,11,1,0,192,0,12,55,42
org.jfree.chart.block.CharterAttributedCharacterIterator,0,89,10,8,1,0,140,7,23,73,31
org.jfree.chart.block.ColorBlock,4,,7,6,2,0,30,1,3,79,5
org.jfree.chart.block.ColumnArrangement,46,58,16,11,1,0,238,4,10,65,49
org.jfree.chart.block.ContentBlock,,,2,2,0,51,16,0,13,21,13
org.jfree.chart.block.EmptyBlock,10,,5,5,2,0,30,0,4,79,6
org.jfree.chart.block.EntityBlockParams,,,0,0,0,1,3,0,1,1,1
org.jfree.chart.block.EntityBlockResult,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.block.FlowArrangement,79,50,14,11,1,0,238,4,12,53,46
org.jfree.chart.block.GridArrangement,16,0,12,10,1,0,145,2,8,49,33
org.jfree.chart.block.LabelBlock,114,70,27,16,2,0,275,5,18,126,55
org.jfree.chart.block.LengthConstraintType,0,83,1,1,1,0,44,1,4,17,11
org.jfree.chart.block.Message,0,50,1,1,1,0,17,2,3,14,4
org.jfree.chart.block.RectangleConstraint,0,54,3,3,1,0,211,6,16,33,49
org.jfree.chart.ChartColor,1,,0,0,2,0,67,0,1,40,2
org.jfree.chart.ChartFactory,,,101,56,1,0,1044,0,34,176,129
org.jfree.chart.ChartFrame,1,,3,2,6,0,20,1,1,445,4
org.jfree.chart.ChartMouseEvent,0,100,3,3,2,0,22,3,3,16,4
org.jfree.chart.ChartMouseListener,,,1,1,0,0,4,0,2,2,2
org.jfree.chart.ChartPanel,3577,96,50,39,5,1,1251,47,91,677,211
org.jfree.chart.ChartRenderingInfo,11,65,10,6,1,0,78,4,12,33,20
org.jfree.chart.ChartUtilities,,,22,11,1,0,299,0,26,65,43
org.jfree.chart.ClipPath,162,90,14,7,1,0,155,9,21,46,32
org.jfree.chart.demo.BarChartDemo1,,,20,9,7,0,85,0,3,483,4
org.jfree.chart.demo.PieChartDemo1,,,10,5,7,0,41,0,4,472,5
org.jfree.chart.demo.TimeSeriesChartDemo1,,,23,10,7,0,95,0,4,488,6
org.jfree.chart.DrawableLegendItem,112,91,4,4,1,0,64,8,16,27,17
org.jfree.chart.Effect3D,,,0,0,0,4,4,0,2,2,2
org.jfree.chart.encoders.EncoderUtil,,,5,4,1,0,50,0,8,25,8
org.jfree.chart.encoders.ImageEncoder,,,3,3,0,3,9,0,6,6,6
org.jfree.chart.encoders.ImageEncoderFactory,9,0,2,2,1,0,60,1,6,26,7
org.jfree.chart.encoders.ImageFormat,,,0,0,0,0,5,0,0,0,0
org.jfree.chart.encoders.KeypointPNGEncoderAdapter,0,40,4,4,1,0,36,2,6,27,9
org.jfree.chart.encoders.SunJPEGEncoderAdapter,19,0,7,4,1,0,31,1,6,27,9
org.jfree.chart.encoders.SunPNGEncoderAdapter,,,7,4,1,0,27,0,6,27,8
org.jfree.chart.entity.CategoryItemEntity,5,75,3,2,2,0,64,4,10,35,16
org.jfree.chart.entity.ChartEntity,73,63,12,8,1,7,165,3,16,50,40
org.jfree.chart.entity.ContourEntity,9,0,1,1,2,0,33,1,4,28,9
org.jfree.chart.entity.EntityCollection,,,3,3,0,1,10,0,8,8,8
org.jfree.chart.entity.LegendItemEntity,4,0,1,1,2,0,30,1,4,28,8
org.jfree.chart.entity.PieSectionEntity,7,78,2,2,2,0,47,4,9,33,10
org.jfree.chart.entity.StandardEntityCollection,0,0,8,4,1,0,55,1,10,41,16
org.jfree.chart.entity.TickLabelEntity,,,1,1,2,0,7,0,0,24,1
org.jfree.chart.entity.XYAnnotationEntity,0,0,1,1,2,0,32,1,3,27,8
org.jfree.chart.entity.XYItemEntity,8,72,2,2,2,0,52,3,8,32,13
org.jfree.chart.event.AxisChangeEvent,0,,1,1,3,0,10,1,1,18,2
org.jfree.chart.event.AxisChangeListener,,,1,1,0,19,3,0,1,1,1
org.jfree.chart.event.ChartChangeEvent,9,66,2,2,2,4,28,2,4,17,7
org.jfree.chart.event.ChartChangeEventType,0,83,1,1,1,0,44,1,4,17,11
org.jfree.chart.event.ChartChangeListener,,,1,1,0,21,3,0,1,1,1
org.jfree.chart.event.ChartProgressEvent,7,80,1,1,2,0,31,3,6,19,7
org.jfree.chart.event.ChartProgressListener,,,1,1,0,2,3,0,1,1,1
org.jfree.chart.event.PlotChangeEvent,0,,1,1,3,0,10,1,1,18,2
org.jfree.chart.event.PlotChangeListener,,,1,1,0,6,3,0,1,1,1
org.jfree.chart.event.RendererChangeEvent,0,,0,0,3,0,10,1,1,18,2
org.jfree.chart.event.RendererChangeListener,,,1,1,0,9,3,0,1,1,1
org.jfree.chart.event.TitleChangeEvent,0,,1,1,3,0,10,1,1,18,2
org.jfree.chart.event.TitleChangeListener,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,1,,0,0,1,0,17,2,1,13,3
org.jfree.chart.imagemap.ImageMapUtilities,,,11,7,1,0,75,0,5,35,10
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,,,0,0,1,0,7,0,1,13,1
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,,,0,0,1,0,6,0,1,13,1
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,,,0,0,1,0,6,0,1,13,1
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,,,0,0,0,3,3,0,1,1,1
org.jfree.chart.imagemap.URLTagFragmentGenerator,,,0,0,0,1,3,0,1,1,1
org.jfree.chart.JFreeChart,1450,90,59,42,2,0,609,11,58,225,127
org.jfree.chart.JFreeChartInfo,,,8,4,5,0,113,0,1,50,4
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,1,73,9,3,1,5,117,5,9,35,27
org.jfree.chart.labels.AbstractPieItemLabelGenerator,0,61,6,2,1,2,90,3,7,28,21
org.jfree.chart.labels.AbstractXYItemLabelGenerator,16,78,7,3,1,4,135,7,9,36,29
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,6,,6,3,3,0,43,0,2,35,7
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,6,,7,4,3,0,51,0,2,41,8
org.jfree.chart.labels.CategoryItemLabelGenerator,,,1,1,0,2,5,0,3,3,3
org.jfree.chart.labels.CategorySeriesLabelGenerator,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.labels.CategoryToolTipGenerator,,,1,1,0,3,3,0,1,1,1
org.jfree.chart.labels.ContourToolTipGenerator,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.labels.CustomXYToolTipGenerator,8,0,3,2,1,0,70,1,7,26,18
org.jfree.chart.labels.HighLowItemLabelGenerator,3,0,6,5,1,0,88,2,4,36,20
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,6,,7,4,3,0,46,0,1,33,9
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,6,,7,4,3,0,46,0,1,31,9
org.jfree.chart.labels.ItemLabelAnchor,0,98,1,1,1,0,152,1,3,15,32
org.jfree.chart.labels.ItemLabelPosition,10,75,2,2,1,0,71,4,5,19,17
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,24,67,8,4,1,0,82,3,7,35,17
org.jfree.chart.labels.PieSectionLabelGenerator,,,2,2,0,1,5,0,2,2,2
org.jfree.chart.labels.PieToolTipGenerator,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,6,,3,3,2,1,21,0,1,26,4
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,13,,3,1,1,0,44,1,4,20,11
org.jfree.chart.labels.StandardCategoryToolTipGenerator,6,,3,3,2,2,22,0,1,24,4
org.jfree.chart.labels.StandardContourToolTipGenerator,0,0,8,3,1,0,47,1,2,28,7
org.jfree.chart.labels.StandardPieSectionLabelGenerator,30,0,5,4,2,0,49,1,6,32,12
org.jfree.chart.labels.StandardPieToolTipGenerator,10,,2,2,2,0,32,0,2,24,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,21,,3,3,2,0,44,0,3,26,9
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,22,66,5,3,1,0,58,2,7,27,14
org.jfree.chart.labels.StandardXYToolTipGenerator,26,,3,3,2,2,50,0,4,29,10
org.jfree.chart.labels.StandardXYZToolTipGenerator,14,33,8,4,3,0,99,2,6,42,19
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,10,,6,2,1,0,54,0,5,29,11
org.jfree.chart.labels.XYItemLabelGenerator,,,1,1,0,3,3,0,1,1,1
org.jfree.chart.labels.XYSeriesLabelGenerator,,,2,2,0,2,5,0,2,2,2
org.jfree.chart.labels.XYToolTipGenerator,,,1,1,0,7,3,0,1,1,1
org.jfree.chart.labels.XYZToolTipGenerator,,,1,1,0,1,3,0,1,2,1
org.jfree.chart.LegendItem,204,89,14,8,1,0,305,16,20,53,56
org.jfree.chart.LegendItemCollection,0,0,5,3,1,0,38,1,7,25,11
org.jfree.chart.LegendItemSource,,,1,1,0,66,3,0,1,1,1
org.jfree.chart.LegendRenderingOrder,0,83,1,1,1,0,36,1,3,15,9
org.jfree.chart.needle.ArrowNeedle,0,0,10,6,2,1,63,1,3,48,11
org.jfree.chart.needle.LineNeedle,3,,7,5,2,0,31,0,3,44,7
org.jfree.chart.needle.LongNeedle,6,,9,5,2,0,77,0,3,53,12
org.jfree.chart.needle.MeterNeedle,172,82,18,11,1,9,151,8,23,56,40
org.jfree.chart.needle.MiddlePinNeedle,3,,11,6,2,0,46,0,3,49,8
org.jfree.chart.needle.PinNeedle,3,,11,6,2,0,46,0,3,49,8
org.jfree.chart.needle.PlumNeedle,3,,8,5,2,0,38,0,3,49,7
org.jfree.chart.needle.PointerNeedle,3,,9,4,2,0,57,0,3,53,10
org.jfree.chart.needle.ShipNeedle,3,,10,4,2,0,38,0,3,48,7
org.jfree.chart.needle.WindNeedle,3,,4,3,3,0,37,0,2,42,7
org.jfree.chart.NestedGrid,129,64,15,12,2,0,348,3,22,122,84
org.jfree.chart.NestedGridArrangement,0,0,10,8,1,0,77,1,5,33,22
org.jfree.chart.NestedGridKey,4,100,0,0,1,0,28,3,3,15,7
org.jfree.chart.plot.AxisPlotArrangement,37,81,17,13,1,0,185,9,10,56,36
org.jfree.chart.plot.CategoryMarker,9,50,5,2,2,0,45,2,4,42,12
org.jfree.chart.plot.CategoryPlot,10574,96,67,49,3,2,1591,37,150,406,388
org.jfree.chart.plot.CategoryPlotWrapper,17,71,12,10,1,0,103,3,10,51,26
org.jfree.chart.plot.CombinedDomainCategoryPlot,14,66,24,15,4,0,303,4,19,349,65
org.jfree.chart.plot.CombinedDomainXYPlot,69,61,21,14,4,0,209,3,20,338,52
org.jfree.chart.plot.CombinedRangeCategoryPlot,1,65,29,18,4,0,275,4,17,343,60
org.jfree.chart.plot.CombinedRangeXYPlot,65,71,26,17,4,0,229,4,21,350,54
org.jfree.chart.plot.CompassPlot,329,92,40,19,3,0,395,15,29,209,86
org.jfree.chart.plot.ContourPlot,2926,96,57,38,3,0,905,26,78,303,176
org.jfree.chart.plot.ContourPlotUtilities,,,3,2,1,0,7,0,1,13,1
org.jfree.chart.plot.ContourValuePlot,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.plot.CrosshairState,19,78,2,2,1,0,74,7,9,23,17
org.jfree.chart.plot.DatasetRenderingOrder,0,83,1,1,1,0,36,1,3,15,9
org.jfree.chart.plot.DefaultDrawingSupplier,53,71,13,6,1,0,240,10,13,45,42
org.jfree.chart.plot.DialShape,0,87,1,1,1,0,38,1,3,15,10
org.jfree.chart.plot.DrawingSupplier,,,3,3,0,1,7,0,5,5,5
org.jfree.chart.plot.FastScatterPlot,462,88,39,27,3,0,396,13,38,218,86
org.jfree.chart.plot.IntervalMarker,8,66,7,3,2,0,61,3,6,45,14
org.jfree.chart.plot.JThermometer,4,75,19,10,5,0,127,4,24,511,33
org.jfree.chart.plot.Marker,297,89,15,10,1,3,207,12,28,52,55
org.jfree.chart.plot.MeterInterval,1,68,11,6,1,0,78,5,8,31,19
org.jfree.chart.plot.MeterPlot,1051,92,50,34,3,0,627,18,52,250,121
org.jfree.chart.plot.MultiplePiePlot,79,75,47,26,3,0,294,7,20,208,59
org.jfree.chart.plot.PieLabelDistributor,0,38,4,2,1,0,122,2,11,38,30
org.jfree.chart.plot.PieLabelRecord,47,91,1,1,1,0,74,8,14,26,18
org.jfree.chart.plot.PiePlot,4504,95,67,44,3,2,1152,42,102,369,216
org.jfree.chart.plot.PiePlot3D,30,0,38,25,4,0,681,1,7,302,73
org.jfree.chart.plot.PiePlotState,182,94,2,2,2,0,77,10,20,33,21
org.jfree.chart.plot.Plot,1037,89,42,26,2,18,424,11,49,164,106
org.jfree.chart.plot.PlotOrientation,0,83,1,1,1,0,37,1,3,15,9
org.jfree.chart.plot.PlotRenderingInfo,27,72,12,7,1,0,80,4,13,34,21
org.jfree.chart.plot.PlotState,0,,2,1,1,0,9,1,1,13,2
