Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
XYSeriesTest;37.0;1.0;8.0;182;0;0;1
StandardPieSectionLabelGenerator;14.0;2.0;9.0;180;1;0;1
VectorRenderer;30.0;3.0;18.0;264;1;1;2
CategoryTick;11.0;2.0;7.0;94;0;1;1
StandardXYSeriesLabelGeneratorTest;6.0;1.0;5.0;182;0;0;3
MouseWheelHandler;12.0;1.0;7.0;94;1;0;1
DataPackageResources;1.0;3.0;0.0;20;1;0;1
BubbleXYItemLabelGenerator;19.0;2.0;10.0;197;1;1;2
Minute;36.0;2.0;12.0;406;1;1;2
PolynomialFunction2DTest;6.0;1.0;2.0;182;0;0;3
ValueDataset;0;0;0;6;1;1;2
StandardDialRange;34.0;2.0;11.0;342;1;1;2
HashUtilsTest;1.0;1.0;1.0;182;0;0;3
FillType;0.0;0;2.0;15;0;0;0
ClusteredXYBarRendererTest;7.0;1.0;8.0;182;0;0;3
AbstractSeriesDataset;5.0;2.0;11.0;62;1;0;1
PaintSample;5.0;4.0;5.0;64;1;0;1
RangeInfo;0;0;0;34;1;0;1
XYItemEntityTest;3.0;1.0;4.0;182;0;0;3
TextFragment;31.0;1.0;6.0;232;0;1;1
BarChartTest;6.0;1.0;14.0;182;0;0;3
StandardCrosshairLabelGenerator;13.0;1.0;3.0;104;1;0;1
RelativeDateFormat;46.0;3.0;2.0;481;1;1;2
StandardPieToolTipGeneratorTest;5.0;1.0;4.0;182;0;0;3
PlotOrientationTest;2.0;1.0;2.0;182;0;0;3
ItemLabelPosition;14.0;1.0;18.0;119;0;1;2
StandardDialScale;81.0;2.0;12.0;874;1;1;2
StandardChartTheme;198.0;1.0;57.0;1542;1;1;2
NumberTickUnitTest;4.0;1.0;2.0;182;0;0;3
HistogramType;12.0;1.0;1.0;88;0;0;0
ComparableObjectItemTest;5.0;1.0;2.0;182;0;0;3
DefaultXYDataset;30.0;4.0;16.0;315;1;0;2
PiePlot3D;86.0;3.0;19.0;822;1;1;2
PaintList;16.0;2.0;6.0;107;0;1;1
BoxAndWhiskerToolTipGenerator;7.0;3.0;10.0;91;1;0;1
ChartMouseEvent;4.0;2.0;5.0;55;0;0;0
JSONArray;13.0;4.0;3.0;116;1;1;2
Timeline;0;0;0;90;1;0;1
XYZToolTipGenerator;0;0;0;16;1;1;2
JSONAware;0;0;0;18;1;0;1
LongNeedle;12.0;2.0;3.0;118;1;0;1
LegendItemEntityTest;3.0;1.0;4.0;182;0;0;3
DefaultHighLowDataset;35.0;4.0;6.0;364;1;1;2
XYAnnotationEntity;8.0;2.0;2.0;64;0;0;0
SlidingCategoryDatasetTest;9.0;1.0;4.0;182;0;0;3
DataUtilsTest;7.0;1.0;3.0;182;0;0;3
TextBlock;28.0;1.0;16.0;240;0;1;2
MatrixSeriesTest;6.0;1.0;3.0;182;0;0;3
WindDataItem;14.0;1.0;1.0;100;1;0;1
XYAnnotation;0;0;0;23;1;1;2
TextTitleTest;4.0;1.0;3.0;182;0;0;3
CyclicXYItemRenderer;36.0;4.0;12.0;408;1;0;1
MeterNeedle;40.0;1.0;15.0;320;1;1;2
Regression;36.0;1.0;4.0;292;0;1;1
ShadowGenerator;0;0;0;31;1;1;2
DirectionalGradientPaintTransformer;10.0;1.0;1.0;90;1;0;1
StandardTickUnitSourceTest;2.0;1.0;2.0;182;0;0;3
CategoryItemEntityTest;3.0;1.0;4.0;182;0;0;3
RectangleInsets;61.0;1.0;64.0;463;0;0;2
XYIntervalSeriesCollectionTest;6.0;1.0;4.0;182;0;0;3
ColorBlockTest;3.0;1.0;3.0;182;0;0;3
RendererChangeListener;0;0;0;12;1;0;1
DefaultXYDatasetTest;8.0;1.0;3.0;182;0;0;3
DefaultLogAxisEditor;12.0;7.0;6.0;104;1;0;1
CompositeTitle;17.0;3.0;12.0;167;1;1;2
StandardCategoryToolTipGenerator;7.0;2.0;20.0;74;1;0;2
StandardCategoryItemLabelGeneratorTest;7.0;1.0;6.0;182;0;0;3
ValueAxisTest;4.0;1.0;16.0;182;0;0;2
ValueHandler;10.0;2.0;4.0;103;1;0;1
ImageFormat;0;0;0;11;0;0;0
StandardEntityCollectionTest;3.0;1.0;4.0;182;0;0;3
LevelRendererTest;8.0;1.0;10.0;182;0;0;3
MinMaxCategoryRendererTest;6.0;1.0;9.0;182;0;0;3
XYDotRendererTest;6.0;1.0;10.0;182;0;0;3
XYZDataset;0;0;0;24;1;0;1
OverlayChangeListener;0;0;0;13;1;0;1
AreaRendererEndType;10.0;1.0;3.0;83;0;0;0
HexNumberFormat;9.0;3.0;0.0;99;1;0;1
OHLCSeriesTest;12.0;1.0;8.0;182;0;0;3
ValueSequence;5.0;1.0;1.0;43;0;0;0
TaskSeries;16.0;2.0;11.0;135;1;1;2
TitleChangeEvent;2.0;3.0;9.0;24;0;0;0
DataPackageResources_fr;1.0;3.0;0.0;19;1;0;1
WaterfallBarRenderer;41.0;4.0;24.0;368;1;1;2
EmptyBlock;5.0;2.0;10.0;71;1;0;1
ChartChangeEventType;11.0;1.0;4.0;85;0;0;0
MeterPlotTest;4.0;1.0;6.0;182;0;0;3
XIntervalSeriesTest;14.0;1.0;6.0;182;0;0;3
ExtendedCategoryAxis;20.0;3.0;11.0;177;1;1;2
YisSymbolic;0;0;0;30;0;0;0
DataPackageResources_es;1.0;3.0;0.0;19;1;0;1
StandardDialScaleTest;6.0;1.0;4.0;182;0;0;3
XYStepAreaRendererTest;6.0;1.0;9.0;182;0;0;3
AbstractAnnotation;15.0;1.0;20.0;154;1;0;2
LineAndShapeRenderer;80.0;3.0;31.0;732;1;1;2
DefaultKeyedValueDataset;20.0;2.0;8.0;136;1;1;2
KeyedValueComparator;18.0;1.0;6.0;113;1;1;2
CategoryItemLabelGenerator;0;0;0;40;1;1;2
FastScatterPlotTest;7.0;1.0;6.0;182;0;0;3
PolarChartPanel;18.0;6.0;5.0;188;1;0;1
MySeriesChangeListener;4.0;1.0;3.0;182;0;0;3
IntervalBarRendererTest;7.0;1.0;12.0;182;0;0;3
StandardDialFrame;24.0;2.0;11.0;270;1;1;2
GanttRenderer;55.0;5.0;23.0;499;1;1;2
StackedBarRenderer;37.0;4.0;25.0;288;1;1;2
SeriesRenderingOrder;10.0;1.0;1.0;86;0;0;0
AnnotationChangeEvent;2.0;3.0;10.0;34;0;1;1
StandardXYZURLGenerator;1.0;2.0;4.0;19;1;0;1
BubbleXYItemLabelGeneratorTest;6.0;1.0;6.0;182;0;0;3
ExportUtils;8.0;1.0;2.0;185;0;1;1
XYCoordinateType;10.0;1.0;1.0;82;0;0;0
CategoryLabelWidthTypeTest;3.0;1.0;2.0;182;0;0;3
FontDisplayField;5.0;6.0;3.0;55;0;1;1
XYDifferenceRendererTest;7.0;1.0;10.0;182;0;0;3
DefaultWindDataset;26.0;4.0;7.0;251;1;1;2
OutlierTest;4.0;1.0;1.0;182;0;0;3
XYTextAnnotationTest;5.0;1.0;4.0;182;0;0;3
ChartMouseListener;0;0;0;21;0;0;0
CategoryItemRendererState;16.0;2.0;25.0;161;0;0;2
StackedXYAreaRenderer2Test;7.0;1.0;14.0;182;0;0;3
DefaultCategoryItemRenderer;0.0;4.0;3.0;10;0;0;0
DefaultOHLCDatasetTest;6.0;1.0;6.0;182;0;0;3
