Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
Cigar;4.0;1.0;3.0;345;0;0;3
DefaultRealMatrixChangingVisitor;3.0;1.0;3.0;23;1;0;1
FieldRotationDfpTest;100.0;1.0;18.0;345;0;0;2
MullerSolverTest;4.0;1.0;10.0;345;0;0;3
CombinationsTest;17.0;1.0;6.0;345;0;0;3
OptimizationProblem;0;0;0;31;1;0;1
OneWayAnovaTest;7.0;1.0;3.0;345;0;0;3
FrenchVector2DFormatTest;2.0;2.0;1.0;345;0;0;3
BracketFinder;29.0;1.0;9.0;239;0;1;1
SecondaryEquations;0;0;0;36;1;0;1
MinpackTest;19.0;1.0;28.0;345;0;0;2
FirstOrderConverterTest;8.0;1.0;10.0;345;0;0;3
BiDiagonalTransformerTest;17.0;1.0;5.0;345;0;0;3
Cigar;4.0;1.0;3.0;345;0;0;3
ArrayRealVectorTest;5.0;2.0;5.0;345;0;0;3
TriangularDistributionTest;14.0;2.0;5.0;345;0;0;3
KMeansPlusPlusClusterer;57.0;1.0;10.0;401;1;1;2
LaplaceDistributionTest;6.0;2.0;3.0;345;0;0;3
EvaluationRmsChecker;3.0;1.0;4.0;48;1;1;2
Ulp;1.0;1.0;3.0;11;1;1;2
FieldElement;0;0;0;57;1;0;1
DataTransferObject;2.0;1.0;2.0;29;0;0;0
ExponentialDecayFunction;6.0;1.0;6.0;57;0;1;1
BiDiagonalTransformer;64.0;1.0;6.0;312;0;1;2
ChromosomeTest;11.0;1.0;2.0;345;0;0;3
HelicalValleyFunction;6.0;2.0;3.0;345;0;0;3
UnivariateDfpFunction;0;0;0;20;0;0;0
SetVisitor;2.0;2.0;3.0;345;0;0;3
FitnessFunction;16.0;1.0;6.0;90;0;0;0
MidpointStepInterpolator;7.0;3.0;5.0;84;1;0;1
InsufficientDataException;2.0;6.0;12.0;25;0;0;0
SimpleBounds;4.0;1.0;12.0;55;0;0;0
DifferentiableMultivariateVectorFunction;0;0;0;15;1;0;1
NormalApproximationInterval;1.0;1.0;7.0;21;1;1;2
DataTransferObject;2.0;1.0;2.0;29;0;0;0
TestUtils;51.0;1.0;20.0;452;0;0;2
Weight;4.0;1.0;7.0;44;0;0;0
PathIsExploredException;1.0;4.0;1.0;14;0;0;0
Solver;23.0;1.0;11.0;111;1;1;2
Euclidean2DTest;3.0;1.0;4.0;345;0;0;3
RealFieldUnivariateFunction;0;0;0;66;1;0;1
CombinatoricsUtils;52.0;1.0;22.0;406;0;1;2
MultivariateOptimizer;0;0;0;14;1;0;1
MathUtils;31.0;1.0;131.0;263;0;1;2
GaussianCurveFitter;9.0;2.0;11.0;372;1;1;2
Box3DimensionalFunction;3.0;2.0;4.0;345;0;0;3
Clusterable;0;0;0;24;1;0;1
LazyHolder;0.0;1.0;1.0;7;0;0;0
StepHandler;0;0;0;49;1;0;1
LinearFullRankFunction;8.0;2.0;2.0;345;0;0;3
MultivariateVectorOptimizer;13.0;3.0;27.0;130;1;0;2
BigReal;36.0;1.0;7.0;254;1;1;2
Entry;5.0;1.0;10.0;41;1;0;1
ArithmeticUtils;90.0;1.0;20.0;823;0;1;2
KendallsCorrelationTest;28.0;2.0;8.0;345;0;0;3
Vector1DFormatAbstractTest;26.0;1.0;6.0;345;0;0;3
GaussIntegratorFactory;8.0;1.0;17.0;133;0;0;2
PolynomialFitterTest;27.0;1.0;14.0;345;0;0;3
Primes;17.0;1.0;4.0;95;0;1;1
Weight;4.0;1.0;15.0;44;0;0;2
Optimum;0;0;0;22;1;0;1
TriangularDistribution;29.0;2.0;9.0;240;1;1;2
SphericalPolygonsSetTest;51.0;1.0;24.0;345;0;0;2
BigFractionFormatTest;21.0;1.0;6.0;345;0;0;3
SimplexSolverTest;41.0;1.0;13.0;345;0;0;3
ThreeEighthesIntegrator;1.0;3.0;4.0;46;0;0;0
