Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
BaseTestSheetHiding;8.0;1.0;9.0;126;0;0;3
TestArrayPtg;8.0;1.0;13.0;102;0;1;1
TestSoundData;1.0;1.0;5.0;1124;0;0;3
GenericRecord;0;0;0;1124;1;0;1
AbstractWordUtilsTest;1.0;1.0;7.0;1124;0;0;3
BorderEdge;0.0;0;6.0;1124;0;0;3
BlankEval;1.0;1.0;49.0;1124;0;0;2
TestProper;9.0;1.0;15.0;1124;0;0;2
DataSpaceDefinition;5.0;1.0;5.0;1124;0;0;3
SXSSFSheet;200.0;1.0;52.0;1124;0;0;2
PageOrder;4.0;0;2.0;1124;0;0;3
FieldsImpl;31.0;1.0;10.0;1124;0;0;3
Record;6.0;2.0;183.0;1124;1;1;2
CreateCell;1.0;1.0;10.0;1124;0;0;3
XWPFSettings;60.0;2.0;9.0;1124;0;0;2
FieldDescriptor;18.0;2.0;4.0;1124;0;0;3
HDGFException;4.0;4.0;1.0;1124;0;0;3
WmfPie;1.0;2.0;3.0;1124;0;0;3
TextAlignment;5.0;0;3.0;1124;0;0;3
TableSprmCompressor;11.0;1.0;12.0;1124;0;0;3
ExcelAntPrecision;2.0;1.0;2.0;1124;0;0;3
TestRowRecordsAggregate;9.0;1.0;22.0;102;0;1;2
TestTable;14.0;1.0;14.0;1124;0;0;3
ObjectsPool;0;0;0;1124;0;0;3
TestHwmfParsing;13.0;1.0;12.0;1124;0;0;3
HSSFHeader;5.0;2.0;8.0;1124;0;1;1
SVGRenderExtension;17.0;1.0;5.0;1124;0;0;3
DocumentAtom;28.0;3.0;9.0;1124;0;0;3
BaseTestCellUtil;16.0;1.0;16.0;296;0;1;2
MFProxy;5.0;1.0;8.0;1124;0;0;3
HorizontalPageBreakRecord;7.0;5.0;5.0;1124;0;0;3
EscherStm;1.0;3.0;4.0;1124;0;0;3
PaletteEntry;8.0;1.0;12.0;1124;0;0;3
PicturesTable;27.0;1.0;21.0;1124;0;0;2
MinaMaxa;5.0;2.0;5.0;1124;0;0;3
FontMetricsDumper;8.0;1.0;0.0;1124;0;0;3
EmfSetMapperFlags;3.0;2.0;4.0;1124;0;0;3
AutoNumberingScheme;78.0;0;10.0;1124;0;0;2
ConditionalFormattingEvaluator;29.0;1.0;20.0;1124;0;0;2
XSLFFactory;3.0;2.0;7.0;1124;0;0;3
Intercept;2.0;2.0;6.0;1124;0;1;1
SignaturePolicyService;0;0;0;1124;0;0;3
LabelSSTRecord;13.0;5.0;15.0;1124;0;0;2
CreateWorkbook0;0;0;0;1124;0;0;3
CreateWorkbook1;0;0;0;1124;0;0;3
CreateWorkbook2;0;0;0;1124;0;0;3
RefErrorPtg;9.0;3.0;9.0;1124;0;0;3
Loc;10.0;1.0;4.0;1124;0;0;3
SearchFind;7.0;2.0;6.0;1124;0;0;3
InfoSubRecord;7.0;1.0;6.0;1124;0;0;3
TestRichTextRun;21.0;1.0;19.0;1124;0;0;2
CellRefParts;3.0;1.0;1.0;1124;0;0;3
PropertyModifier;20.0;1.0;5.0;1124;0;0;3
SerializingRecordVisitor;3.0;1.0;4.0;1124;0;0;3
TestPOIFSStream;116.0;1.0;31.0;2300;1;1;2
GeometrySection;25.0;2.0;13.0;1124;0;0;3
WmfSetTextAlign;21.0;1.0;13.0;1124;0;0;3
TestFrequency;4.0;1.0;12.0;53;0;1;1
TestAgileEncryptionParameters;6.0;1.0;11.0;1124;0;0;3
TestJDK12;1.0;1.0;0.0;1124;0;0;3
AllXWPFTests;0.0;1.0;16.0;1124;0;0;2
EmfPlusRegionEmpty;4.0;1.0;3.0;1124;0;0;3
MemoryPackagePart;12.0;2.0;12.0;1124;0;0;3
POIFileScanner;14.0;1.0;12.0;1124;0;0;3
HSSFOptimiser;56.0;1.0;22.0;1124;0;1;2
TestXWPFTableCell;13.0;1.0;9.0;1124;0;0;3
GenericRecordXmlWriter;71.0;1.0;8.0;1124;0;0;2
XSLFGroupShape;60.0;2.0;33.0;1124;0;0;2
IgnoredErrorType;0.0;0;4.0;1124;0;0;3
PresetGeometry;3.0;0;1.0;1124;0;0;3
EmfPlusImageDataType;4.0;0;2.0;1124;0;0;3
DataLabelExtensionRecord;8.0;4.0;6.0;1124;0;0;3
Listener;1.0;1.0;3.0;20;1;1;2
AddPtg;5.0;4.0;6.0;1124;0;0;3
HSSFObjectData;14.0;4.0;27.0;1124;0;0;2
HeapDump;5.0;1.0;0.0;1124;0;0;3
NullLogger;5.0;1.0;2.0;1124;0;0;3
CharacterRun;0;0;0;1124;0;0;3
Function3Arg;0;0;0;1124;0;0;3
TimeSpec;4.0;1.0;1.0;1124;0;0;3
XmlVisioDocument;10.0;3.0;18.0;1124;0;0;2
RepeatingRowsAndColumns;1.0;1.0;8.0;1124;0;0;3
DifferentialStyleProvider;0;0;0;1124;0;0;3
RichTextString;0;0;0;1124;0;0;3
StringEval;5.0;1.0;90.0;1124;0;0;2
CTFormat;7.0;1.0;5.0;1124;0;0;3
VersionedStream;2.0;1.0;5.0;1124;0;0;3
HSLFTextParagraph;325.0;1.0;110.0;1124;0;0;2
LineCompound;7.0;0;8.0;1124;0;0;3
MainContents;2.0;2.0;3.0;1124;0;0;3
XDDFNoAutoFit;5.0;1.0;4.0;1124;0;0;3
TestPowerEval;10.0;1.0;15.0;60;0;1;2
