Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
BaseTestSheetHiding;8.0;1.0;9.0;141;0;0;3
TestArrayPtg;8.0;1.0;13.0;141;0;0;3
TestSoundData;1.0;1.0;5.0;141;0;0;3
GenericRecord;0;0;0;5;1;0;1
AbstractWordUtilsTest;1.0;1.0;7.0;141;0;0;3
BorderEdge;0.0;0;6.0;1;0;1;1
BlankEval;1.0;1.0;49.0;10;0;0;2
TestProper;9.0;1.0;15.0;141;0;0;2
DataSpaceDefinition;5.0;1.0;5.0;21;0;0;0
SXSSFSheet;200.0;1.0;52.0;141;0;0;2
PageOrder;4.0;0;2.0;31;0;0;0
FieldsImpl;31.0;1.0;10.0;141;0;0;1
Record;6.0;2.0;183.0;58;1;1;2
CreateCell;1.0;1.0;10.0;141;0;0;3
XWPFSettings;60.0;2.0;9.0;141;0;0;2
FieldDescriptor;18.0;2.0;4.0;141;0;0;3
HDGFException;4.0;4.0;1.0;141;0;0;3
WmfPie;1.0;2.0;3.0;141;0;0;3
TextAlignment;5.0;0;3.0;141;0;0;3
TableSprmCompressor;11.0;1.0;12.0;141;0;0;3
ExcelAntPrecision;2.0;1.0;2.0;141;0;0;3
TestRowRecordsAggregate;9.0;1.0;22.0;141;0;0;2
TestTable;14.0;1.0;14.0;141;0;0;3
ObjectsPool;0;0;0;141;0;0;3
TestHwmfParsing;13.0;1.0;12.0;141;0;0;3
HSSFHeader;5.0;2.0;8.0;33;1;0;1
SVGRenderExtension;17.0;1.0;5.0;141;0;0;3
DocumentAtom;28.0;3.0;9.0;141;0;0;1
BaseTestCellUtil;16.0;1.0;16.0;141;0;0;2
MFProxy;5.0;1.0;8.0;141;0;0;3
HorizontalPageBreakRecord;7.0;5.0;5.0;42;1;0;1
EscherStm;1.0;3.0;4.0;141;0;0;3
PaletteEntry;8.0;1.0;12.0;141;0;0;3
PicturesTable;27.0;1.0;21.0;141;0;0;2
MinaMaxa;5.0;2.0;5.0;19;1;1;2
FontMetricsDumper;8.0;1.0;0.0;40;0;0;0
EmfSetMapperFlags;3.0;2.0;4.0;141;0;0;3
AutoNumberingScheme;78.0;0;10.0;252;0;0;2
ConditionalFormattingEvaluator;29.0;1.0;20.0;237;0;1;2
XSLFFactory;3.0;2.0;7.0;141;0;0;3
Intercept;2.0;2.0;6.0;21;1;0;1
SignaturePolicyService;0;0;0;141;0;0;3
LabelSSTRecord;13.0;5.0;15.0;75;1;1;2
CreateWorkbook0;0;0;0;3;0;0;0
CreateWorkbook1;0;0;0;3;0;0;0
CreateWorkbook2;0;0;0;3;0;0;0
RefErrorPtg;9.0;3.0;9.0;40;1;1;2
Loc;10.0;1.0;4.0;41;0;0;0
SearchFind;7.0;2.0;6.0;43;0;0;0
InfoSubRecord;7.0;1.0;6.0;45;0;0;0
TestRichTextRun;21.0;1.0;19.0;141;0;0;2
CellRefParts;3.0;1.0;1.0;10;0;0;0
PropertyModifier;20.0;1.0;5.0;141;0;0;3
SerializingRecordVisitor;3.0;1.0;4.0;17;0;0;0
TestPOIFSStream;116.0;1.0;31.0;141;0;0;2
GeometrySection;25.0;2.0;13.0;141;0;0;1
WmfSetTextAlign;21.0;1.0;13.0;141;0;0;1
TestFrequency;4.0;1.0;12.0;141;0;0;3
TestAgileEncryptionParameters;6.0;1.0;11.0;141;0;0;3
TestJDK12;1.0;1.0;0.0;141;0;0;3
AllXWPFTests;0.0;1.0;16.0;141;0;0;2
EmfPlusRegionEmpty;4.0;1.0;3.0;141;0;0;3
MemoryPackagePart;12.0;2.0;12.0;141;0;0;3
POIFileScanner;14.0;1.0;12.0;141;0;0;3
HSSFOptimiser;56.0;1.0;22.0;300;0;0;2
TestXWPFTableCell;13.0;1.0;9.0;141;0;0;3
GenericRecordXmlWriter;71.0;1.0;8.0;421;1;1;2
XSLFGroupShape;60.0;2.0;33.0;141;0;0;2
IgnoredErrorType;0.0;0;4.0;56;0;0;0
PresetGeometry;3.0;0;1.0;141;0;0;3
EmfPlusImageDataType;4.0;0;2.0;141;0;0;3
DataLabelExtensionRecord;8.0;4.0;6.0;50;1;1;2
Listener;1.0;1.0;3.0;141;1;1;2
AddPtg;5.0;4.0;6.0;29;1;0;1
HSSFObjectData;14.0;4.0;27.0;83;1;1;2
HeapDump;5.0;1.0;0.0;141;0;0;3
NullLogger;5.0;1.0;2.0;55;1;0;1
CharacterRun;0;0;0;67;0;0;0
