,Cigar-IIU,Cigar-ICC,DefaultRealMatrixChangingVisitor-IIU,DefaultRealMatrixChangingVisitor-ICC,FieldRotationDfpTest-IIU,FieldRotationDfpTest-ICC,MullerSolverTest-IIU,MullerSolverTest-ICC,CombinationsTest-IIU,CombinationsTest-ICC,OptimizationProblem-IIU,OptimizationProblem-ICC,OneWayAnovaTest-IIU,OneWayAnovaTest-ICC,FrenchVector2DFormatTest-IIU,FrenchVector2DFormatTest-ICC,BracketFinder-IIU,BracketFinder-ICC,SecondaryEquations-IIU,SecondaryEquations-ICC,MinpackTest-IIU,MinpackTest-ICC,FirstOrderConverterTest-IIU,FirstOrderConverterTest-ICC,BiDiagonalTransformerTest-IIU,BiDiagonalTransformerTest-ICC,Cigar-IIU,Cigar-ICC,ArrayRealVectorTest-IIU,ArrayRealVectorTest-ICC,TriangularDistributionTest-IIU,TriangularDistributionTest-ICC,KMeansPlusPlusClusterer-IIU,KMeansPlusPlusClusterer-ICC,LaplaceDistributionTest-IIU,LaplaceDistributionTest-ICC,EvaluationRmsChecker-IIU,EvaluationRmsChecker-ICC,Ulp-IIU,Ulp-ICC,FieldElement-IIU,FieldElement-ICC,DataTransferObject-IIU,DataTransferObject-ICC,ExponentialDecayFunction-IIU,ExponentialDecayFunction-ICC,BiDiagonalTransformer-IIU,BiDiagonalTransformer-ICC,ChromosomeTest-IIU,ChromosomeTest-ICC,HelicalValleyFunction-IIU,HelicalValleyFunction-ICC,UnivariateDfpFunction-IIU,UnivariateDfpFunction-ICC,SetVisitor-IIU,SetVisitor-ICC,FitnessFunction-IIU,FitnessFunction-ICC,MidpointStepInterpolator-IIU,MidpointStepInterpolator-ICC,InsufficientDataException-IIU,InsufficientDataException-ICC,SimpleBounds-IIU,SimpleBounds-ICC,DifferentiableMultivariateVectorFunction-IIU,DifferentiableMultivariateVectorFunction-ICC,NormalApproximationInterval-IIU,NormalApproximationInterval-ICC,DataTransferObject-IIU,DataTransferObject-ICC,TestUtils-IIU,TestUtils-ICC,Weight-IIU,Weight-ICC,PathIsExploredException-IIU,PathIsExploredException-ICC,Solver-IIU,Solver-ICC,Euclidean2DTest-IIU,Euclidean2DTest-ICC,RealFieldUnivariateFunction-IIU,RealFieldUnivariateFunction-ICC,CombinatoricsUtils-IIU,CombinatoricsUtils-ICC,MultivariateOptimizer-IIU,MultivariateOptimizer-ICC,MathUtils-IIU,MathUtils-ICC,GaussianCurveFitter-IIU,GaussianCurveFitter-ICC,Box3DimensionalFunction-IIU,Box3DimensionalFunction-ICC,Clusterable-IIU,Clusterable-ICC,LazyHolder-IIU,LazyHolder-ICC,StepHandler-IIU,StepHandler-ICC,LinearFullRankFunction-IIU,LinearFullRankFunction-ICC,MultivariateVectorOptimizer-IIU,MultivariateVectorOptimizer-ICC,BigReal-IIU,BigReal-ICC,Entry-IIU,Entry-ICC,ArithmeticUtils-IIU,ArithmeticUtils-ICC,KendallsCorrelationTest-IIU,KendallsCorrelationTest-ICC,Vector1DFormatAbstractTest-IIU,Vector1DFormatAbstractTest-ICC,GaussIntegratorFactory-IIU,GaussIntegratorFactory-ICC,PolynomialFitterTest-IIU,PolynomialFitterTest-ICC,Primes-IIU,Primes-ICC,Weight-IIU,Weight-ICC,Optimum-IIU,Optimum-ICC,TriangularDistribution-IIU,TriangularDistribution-ICC,SphericalPolygonsSetTest-IIU,SphericalPolygonsSetTest-ICC,BigFractionFormatTest-IIU,BigFractionFormatTest-ICC,SimplexSolverTest-IIU,SimplexSolverTest-ICC,ThreeEighthesIntegrator-IIU,ThreeEighthesIntegrator-ICC,FieldStepHandler-IIU,FieldStepHandler-ICC,ConfidenceInterval-IIU,ConfidenceInterval-ICC,DiffPow-IIU,DiffPow-ICC,GaussNewtonOptimizerWithCholeskyTest-IIU,GaussNewtonOptimizerWithCholeskyTest-ICC,DerivativeStructure-IIU,DerivativeStructure-ICC,CombinatoricsUtilsTest-IIU,CombinatoricsUtilsTest-ICC,Parametric-IIU,Parametric-ICC,AkimaSplineInterpolatorTest-IIU,AkimaSplineInterpolatorTest-ICC,Basis-IIU,Basis-ICC,RankingAlgorithm-IIU,RankingAlgorithm-ICC,NormalDistributionTest-IIU,NormalDistributionTest-ICC,DistanceMeasure-IIU,DistanceMeasure-ICC,LoessInterpolatorTest-IIU,LoessInterpolatorTest-ICC,TransformUtils-IIU,TransformUtils-ICC,Euclidean3DTest-IIU,Euclidean3DTest-ICC,EmbeddedRungeKuttaIntegrator-IIU,EmbeddedRungeKuttaIntegrator-ICC,Atan2-IIU,Atan2-ICC,RandomStraightLinePointGenerator-IIU,RandomStraightLinePointGenerator-ICC
Cigar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DefaultRealMatrixChangingVisitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FieldRotationDfpTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MullerSolverTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CombinationsTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OptimizationProblem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OneWayAnovaTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FrenchVector2DFormatTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BracketFinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SecondaryEquations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
